Current Education Level,Stream / Specialization,Latest Grade / CGPA,Technical / Hard Skills,Soft Skills,Personality Type,"Salary Expectation (Annual, in INR)",Certifications Obtained,Preferred Work Environment,Learning Style,Open to Relocating,Willingness to Pursue Higher Studies,Recommended Career Path
B.Tech,Computer Science,8.69,"TensorFlow, Python, Scikit-learn, SQL","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
B.Tech,Human-Computer Interaction,7.7,"User Research, Figma, Adobe XD","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,Graphic Designer
M.Tech,AI & ML,9.57,"Python, Computer Vision, PyTorch","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,8.81,"SQL, Java, Python","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I like a mix of both,Visual,Maybe,No,Software Developer
B.A.,Fine Arts,6.51,"Figma, Adobe Photoshop, Adobe Illustrator","Attention to Detail, Creativity",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,Yes,Graphic Designer
B.Tech,Data Science,8.87,"Scikit-learn, R","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
MBA,Business Administration,7.85,"Google Analytics, Digital Marketing, Social Media Management, SEO","Leadership, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Des,Graphic Design,7.72,"Figma, Adobe XD","Empathy, Creativity",Ambivert,8-12 LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Data Science,8.55,"Python, SQL","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
BBA,Business Administration,8.63,"Social Media Management, Digital Marketing","Leadership, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Des,Fine Arts,6.85,"Adobe Photoshop, Figma","Creativity, Attention to Detail",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,Graphic Designer
Diploma,Mechanical Engineering,8.92,"SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Des,Fine Arts,7.01,"Adobe Illustrator, Adobe Photoshop, Figma","Creativity, Attention to Detail",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
B.Des,Human-Computer Interaction,8.7,"Sketch, Figma, User Research, Adobe XD","Empathy, Problem-Solving",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,Graphic Designer
B.Des,Human-Computer Interaction,8.72,"Sketch, Adobe XD, Figma, User Research","Problem-Solving, Creativity",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
M.Tech,Computer Science,9.61,"Python, TensorFlow, Scikit-learn, SQL, R","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Des,Graphic Design,8.86,"Adobe Photoshop, Figma","Attention to Detail, Creativity",Ambivert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
MBA,Business Administration,7.63,"Digital Marketing, SEO, Google Analytics, Social Media Management","Communication, Leadership",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
MBA,Finance,7.79,"Tableau, MS Excel","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,No,Financial Analyst
B.A.,Graphic Design,8.52,"Adobe Photoshop, Figma, Adobe Illustrator","Attention to Detail, Creativity",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,Yes,UI/UX Designer
MBA,Marketing,8.46,"SEO, Social Media Management","Communication, Creativity",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Computer Science,8.81,"SQL, Java, Python","Problem-Solving, Teamwork",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Maybe,No,Software Developer
Diploma,Mechanical Engineering,8.12,"AutoCAD, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Finance,8.08,"MS Excel, SQL, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,Maybe,Yes,Financial Analyst
B.Tech,Human-Computer Interaction,8.67,"User Research, Adobe XD","Problem-Solving, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,Yes,No,Graphic Designer
B.Tech,Computer Science,9.43,"Python, Scikit-learn","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
BBA,Marketing,7.92,"Social Media Management, SEO","Leadership, Communication",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
M.Tech,Data Science,8.73,"R, SQL, Scikit-learn, Python","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,No,Data Scientist
M.Tech,Computer Science,9.47,"Python, R, SQL","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
BBA,Business Administration,8.38,"Google Analytics, SEO, Social Media Management, Digital Marketing","Leadership, Communication",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
MBA,Business Administration,7.84,"Google Analytics, Digital Marketing","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
MBA,Finance,7.6,"Financial Modeling, SQL, Tableau","Attention to Detail, Analytical Skills",Extrovert,8-12 LPA,CFA,I prefer working alone,Read/Write,No,Yes,Financial Analyst
B.Des,Fine Arts,8.77,"Adobe Photoshop, Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,4-8 LPA,No Certification,I like a mix of both,Visual,No,Yes,Graphic Designer
M.Tech,AI & ML,9.25,"NLP, PyTorch, Computer Vision","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Com,Finance,8.22,"Financial Modeling, Tableau","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Read/Write,No,No,Financial Analyst
B.Tech,Mechanical Engineering,8.88,"SolidWorks, MATLAB, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
BBA,Marketing,7.09,"SEO, Digital Marketing, Social Media Management","Creativity, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
BBA,Business Administration,8.7,"Digital Marketing, Social Media Management, SEO, Google Analytics","Leadership, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
Diploma,Mechanical Engineering,7.76,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
M.Tech,Computer Science,9.72,"Computer Vision, TensorFlow, Python, NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
MBA,Marketing,8.33,"Digital Marketing, Google Analytics, Social Media Management, SEO","Creativity, Leadership",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
B.Tech,Computer Science,9.67,"Python, R","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.Tech,Human-Computer Interaction,9.3,"User Research, Sketch, Figma, Adobe XD","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Visual,Yes,No,UI/UX Designer
M.Tech,Data Science,9.73,"R, TensorFlow","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Des,Fine Arts,8.14,"Adobe Illustrator, Adobe Photoshop, Figma","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,9.27,"Java, Python, Git, SQL, JavaScript","Teamwork, Problem-Solving",Introvert,12+ LPA,No Certification,I like a mix of both,Kinesthetic,Maybe,No,Software Developer
Diploma,Mechanical Engineering,7.29,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Commerce,7.52,"Tableau, MS Excel, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
B.Des,Graphic Design,6.51,"Adobe Illustrator, Adobe Photoshop","Attention to Detail, Creativity",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,Graphic Designer
M.Tech,Computer Science,9.36,"PyTorch, Computer Vision, NLP, Python","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Des,Human-Computer Interaction,9.19,"Sketch, Figma, User Research","Empathy, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Graphic Designer
B.Des,Graphic Design,7.41,"Figma, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,UI/UX Designer
B.Tech,Human-Computer Interaction,7.9,"Sketch, Adobe XD, User Research, Figma","Problem-Solving, Empathy",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Des,Fine Arts,8.65,"Adobe Photoshop, Adobe Illustrator, Figma","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,UI/UX Designer
M.Tech,Computer Science,9.39,"Python, R","Problem-Solving, Critical Thinking",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,No,Data Scientist
MBA,Business Administration,8.49,"Social Media Management, Digital Marketing, SEO, Google Analytics","Creativity, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Yes,No,Social Media Manager
B.Tech,Mechanical Engineering,8.7,"MATLAB, AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,9.74,"Git, JavaScript, Python","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
B.Tech,Computer Science,8.27,"JavaScript, Python","Teamwork, Problem-Solving",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Visual,Maybe,No,Software Developer
B.Tech,Computer Science,9.13,"JavaScript, Python, Java, SQL, Git","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,Software Developer
M.Tech,Computer Science,8.63,"TensorFlow, SQL, R, Scikit-learn, Python","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.Tech,Human-Computer Interaction,9.17,"Adobe XD, User Research, Sketch, Figma","Empathy, Creativity",Ambivert,12+ LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
M.Tech,Computer Science,9.69,"NLP, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,8.3,"JavaScript, Java","Problem-Solving, Teamwork",Ambivert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Maybe,No,Software Developer
BBA,Business Administration,8.4,"SEO, Social Media Management","Communication, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
Diploma,Mechanical Engineering,8.39,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,AI & ML,8.84,"Computer Vision, NLP","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Mechanical Engineering,7.63,"SolidWorks, AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Mechanical Engineering,8.12,"AutoCAD, SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.A.,Graphic Design,8.37,"Adobe Illustrator, Figma, Adobe Photoshop","Creativity, Attention to Detail",Introvert,Less than 4 LPA,No Certification,I like a mix of both,Visual,No,Yes,UI/UX Designer
B.Tech,Computer Science,9.72,"SQL, JavaScript, Git, Python, Java","Problem-Solving, Teamwork",Introvert,8-12 LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
BBA,Business Administration,7.9,"Google Analytics, Social Media Management","Communication, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Business Administration,8.34,"Digital Marketing, Google Analytics, SEO","Leadership, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
B.Tech,Graphic Design,7.84,"User Research, Figma","Problem-Solving, Creativity",Ambivert,8-12 LPA,Nielsen Norman Group UX Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
Diploma,Mechanical Engineering,8.02,"SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
M.Tech,AI & ML,9.27,"TensorFlow, Python, Computer Vision, NLP, PyTorch","Critical Thinking, Research",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,8.83,"SQL, Git, JavaScript","Problem-Solving, Teamwork",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Kinesthetic,Yes,No,Software Developer
B.Des,Fine Arts,7.07,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Ambivert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Tech,Computer Science,8.31,"JavaScript, Java, SQL, Python","Teamwork, Problem-Solving",Introvert,8-12 LPA,No Certification,I like a mix of both,Visual,Yes,No,Software Developer
B.Tech,Data Science,9.68,"SQL, Scikit-learn, TensorFlow","Critical Thinking, Problem-Solving",Ambivert,12+ LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,AI Specialist
B.Tech,Mechanical Engineering,8.38,"AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Computer Science,9.52,"SQL, Python, TensorFlow","Problem-Solving, Critical Thinking",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Read/Write,Yes,No,Data Scientist
B.A.,Graphic Design,6.69,"Adobe Photoshop, Figma","Attention to Detail, Creativity",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,Graphic Designer
M.Tech,AI & ML,9.17,"TensorFlow, PyTorch, Python, NLP, Computer Vision","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.49,"Python, JavaScript","Problem-Solving, Teamwork",Introvert,12+ LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Maybe,No,Software Developer
B.Tech,Computer Science,8.6,"Scikit-learn, TensorFlow","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,Google Data Analytics,I prefer working alone,Visual,Yes,Yes,Data Scientist
MBA,Commerce,7.88,"SQL, Financial Modeling","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
BBA,Business Administration,8.53,"Google Analytics, SEO, Social Media Management, Digital Marketing","Creativity, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
MBA,Finance,7.78,"SQL, Financial Modeling, Tableau","Attention to Detail, Analytical Skills",Ambivert,8-12 LPA,No Certification,I prefer working alone,Read/Write,Maybe,No,Financial Analyst
B.Tech,Computer Science,8.78,"SQL, JavaScript, Python, Git, Java","Problem-Solving, Teamwork",Introvert,12+ LPA,Coursera - Python for Everybody,I like a mix of both,Kinesthetic,Maybe,No,Data Scientist
B.Tech,Data Science,8.87,"TensorFlow, R, Scikit-learn, SQL, Python","Problem-Solving, Critical Thinking",Ambivert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,AI Specialist
B.Tech,Mechanical Engineering,8.22,"SolidWorks, AutoCAD, MATLAB","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Tech,Mechanical Engineering,7.8,"SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
M.Tech,AI & ML,9.7,"Computer Vision, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.A.,Graphic Design,8.07,"Adobe Illustrator, Adobe Photoshop, Figma","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
MBA,Finance,9.03,"MS Excel, Tableau, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,CFA,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
B.Tech,Computer Science,8.16,"Git, SQL, JavaScript, Java","Teamwork, Problem-Solving",Ambivert,12+ LPA,No Certification,I prefer working alone,Visual,Yes,No,Software Developer
B.Des,Graphic Design,7.75,"Figma, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,No Certification,I like a mix of both,Visual,No,No,Graphic Designer
MBA,Commerce,7.5,"Tableau, Financial Modeling","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,No,Financial Analyst
B.Com,Finance,7.73,"Financial Modeling, SQL","Analytical Skills, Attention to Detail",Ambivert,4-8 LPA,No Certification,I prefer working alone,Read/Write,No,Yes,Business Analyst
B.Des,Fine Arts,6.52,"Adobe Illustrator, Adobe Photoshop, Figma","Attention to Detail, Creativity",Introvert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,No,UI/UX Designer
B.Tech,Mechanical Engineering,7.19,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Commerce,8.82,"MS Excel, Financial Modeling, Tableau","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,Maybe,Yes,Financial Analyst
B.Tech,Computer Science,9.57,"JavaScript, Git, Python","Teamwork, Problem-Solving",Introvert,8-12 LPA,Coursera - Python for Everybody,I prefer working alone,Visual,Yes,No,Software Developer
MBA,Marketing,8.53,"Digital Marketing, SEO","Creativity, Leadership",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Yes,No,Social Media Manager
M.Tech,Data Science,8.95,"SQL, R, Python, Scikit-learn, TensorFlow","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Des,Graphic Design,7.35,"Figma, Adobe Illustrator","Attention to Detail, Creativity",Introvert,Less than 4 LPA,Adobe Certified Expert (ACE),I prefer working alone,Visual,No,Yes,Graphic Designer
Diploma,Mechanical Engineering,7.27,"SolidWorks, MATLAB, AutoCAD","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Civil Engineer
B.Des,Fine Arts,7.17,"Figma, Adobe Illustrator","Creativity, Attention to Detail",Ambivert,4-8 LPA,Adobe Certified Expert (ACE),I like a mix of both,Visual,No,No,Graphic Designer
M.Tech,AI & ML,9.18,"Python, NLP, PyTorch","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Computer Science,9.24,"SQL, Java","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,Software Developer
M.Tech,Computer Science,8.82,"NLP, Python","Critical Thinking, Research",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,7.84,"MATLAB, SolidWorks","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
BBA,Marketing,8.09,"Social Media Management, Google Analytics","Communication, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Visual,Yes,No,Marketing Manager
MBA,Business Administration,7.28,"SEO, Social Media Management, Digital Marketing","Leadership, Communication",Extrovert,8-12 LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Yes,No,Marketing Manager
M.Tech,Data Science,9.12,"TensorFlow, R, Python","Critical Thinking, Problem-Solving",Introvert,8-12 LPA,IBM Data Science,I prefer working alone,Visual,Yes,Yes,Data Scientist
B.A.,Graphic Design,7.91,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,Adobe Certified Expert (ACE),I like a mix of both,Kinesthetic,No,No,Graphic Designer
B.Des,Graphic Design,8.16,"Sketch, Adobe XD","Empathy, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,No,No,UI/UX Designer
M.Tech,Computer Science,9.82,"PyTorch, TensorFlow, NLP","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
Diploma,Mechanical Engineering,8.98,"MATLAB, SolidWorks, AutoCAD","Problem-Solving, Teamwork",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
MBA,Marketing,7.14,"SEO, Digital Marketing, Google Analytics, Social Media Management","Leadership, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
B.Tech,Computer Science,8.89,"Git, JavaScript, SQL, Python, Java","Problem-Solving, Teamwork",Ambivert,12+ LPA,No Certification,I prefer working alone,Kinesthetic,Yes,No,Software Developer
M.Tech,AI & ML,9.48,"PyTorch, Computer Vision, NLP","Research, Critical Thinking",Introvert,12+ LPA,Deep Learning Specialization,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
BBA,Marketing,8.61,"SEO, Digital Marketing","Leadership, Creativity",Extrovert,12+ LPA,HubSpot Content Marketing,I prefer working in a team,Visual,Maybe,No,Marketing Manager
B.Des,Fine Arts,7.79,"Figma, Adobe Photoshop","Creativity, Attention to Detail",Introvert,4-8 LPA,Adobe Certified Expert (ACE),I prefer working alone,Kinesthetic,No,No,UI/UX Designer
Diploma,Mechanical Engineering,7.48,"AutoCAD, SolidWorks","Problem-Solving, Teamwork",Ambivert,4-8 LPA,No Certification,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
B.Des,Graphic Design,6.63,"Figma, Adobe Illustrator","Creativity, Attention to Detail",Introvert,4-8 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,UI/UX Designer
Diploma,Mechanical Engineering,7.01,"AutoCAD, SolidWorks, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,No Certification,I prefer working in a team,Kinesthetic,Maybe,Yes,Mechanical Engineer
B.Des,Human-Computer Interaction,9.29,"Adobe XD, Figma, Sketch","Creativity, Problem-Solving",Ambivert,12+ LPA,No Certification,I like a mix of both,Visual,Yes,No,Graphic Designer
M.Tech,AI & ML,9.19,"Python, NLP, TensorFlow","Research, Critical Thinking",Introvert,12+ LPA,TensorFlow Developer,I prefer working alone,Read/Write,Yes,Yes,AI Specialist
B.Tech,Data Science,9.0,"TensorFlow, Python","Problem-Solving, Critical Thinking",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,No,Data Scientist
BBA,Marketing,7.94,"SEO, Digital Marketing, Social Media Management, Google Analytics","Communication, Leadership",Extrovert,12+ LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Social Media Manager
B.Des,Graphic Design,6.73,"Adobe Photoshop, Adobe Illustrator, Figma","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I like a mix of both,Kinesthetic,No,Yes,Graphic Designer
M.Tech,Data Science,9.35,"Scikit-learn, TensorFlow, Python, R, SQL","Critical Thinking, Problem-Solving",Ambivert,8-12 LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Tech,Graphic Design,8.11,"Sketch, User Research, Figma","Creativity, Empathy",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
BBA,Business Administration,7.54,"Google Analytics, Digital Marketing","Leadership, Creativity",Extrovert,8-12 LPA,Google Digital Marketing,I prefer working in a team,Auditory,Maybe,No,Marketing Manager
M.Tech,Computer Science,8.61,"Python, R, SQL","Critical Thinking, Problem-Solving",Introvert,12+ LPA,Google Data Analytics,I prefer working alone,Read/Write,Yes,Yes,Data Scientist
B.Des,Human-Computer Interaction,8.91,"Adobe XD, Sketch, User Research","Creativity, Empathy",Ambivert,8-12 LPA,No Certification,I like a mix of both,Kinesthetic,Yes,No,UI/UX Designer
B.Des,Graphic Design,8.55,"Adobe Illustrator, Figma","Creativity, Attention to Detail",Ambivert,Less than 4 LPA,No Certification,I prefer working alone,Kinesthetic,No,No,UI/UX Designer
B.Com,Commerce,8.76,"MS Excel, Financial Modeling, SQL","Analytical Skills, Attention to Detail",Extrovert,4-8 LPA,No Certification,I prefer working alone,Visual,No,No,Financial Analyst
Diploma,Mechanical Engineering,8.97,"AutoCAD, MATLAB","Teamwork, Problem-Solving",Ambivert,8-12 LPA,Certified SOLIDWORKS Professional,I prefer working in a team,Kinesthetic,Yes,Yes,Mechanical Engineer
